cooler_id,door_opens_mean,door_opens_std,open_time_mean,open_time_std,temperature_mean,temperature_std,min_voltage_mean,min_voltage_std,power_mean,power_std,Warning_sum,Warning_count,warning_rate
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,124.2162,79.5002,34.6216,32.1441,9.2519,3.9425,108.2162,2.0968,1.2072,1.3702,37,37,100.0
000c011eca9990bc07e6577a13dc0ad3bc0bb2e5b628f4e3469120f7efd2ed71,140.6,35.4115,9.6667,5.4989,4.2626,0.3607,106.1333,2.3258,0.0,0.0,0,15,0.0
0016ec5ff0bab59a840bfb35f19432270b06e821b6807f5c822909f42d36feba,45.8692,16.9445,4.6262,5.8415,3.7552,0.5658,116.3178,3.615,155.8738,38.295,0,107,0.0
00190192bd70e98a2399c87c883f9abd122ddf1ea915157bae0955be02aad98b,28.9545,15.6072,2.75,3.9863,5.418,0.4725,106.1364,3.2912,155.499,41.0883,0,88,0.0
001eacd5c959eff51b42e8855473e89be89b46e8a5d0d80dfc59363fcedf90ac,43.75,21.7488,5.5714,4.9846,4.6012,0.3692,114.0714,2.2099,0.0,0.0,0,28,0.0
0025f7d0ed62936e9107af28a61d68a8a34606d1690dab950662972394def868,62.8154,41.1027,8.4,5.8625,5.0578,0.3382,120.4,1.8439,141.2615,25.768,0,65,0.0
0026be8ea32cc11fe427ed626def3096f35d0fbdb4da1cc99aa9ef0ce79a1b75,12.6458,10.09,1.1667,1.9056,5.329,0.3487,110.5,4.3172,103.5052,22.4542,0,48,0.0
002cf495266f8062dd3bc307c17498bbcdbab860367fa893e7fc1cea49334b1b,1.3333,0.6202,12.0,5.5816,5.8519,0.4684,123.4074,1.2172,286.5432,77.4783,0,27,0.0
00333a0aaa7e706c1c0dcf8571b415ebb00392bedbfa25c9e354de2e12d603e4,23.4,16.9904,2.65,4.0036,5.6642,0.4331,109.2,2.6278,132.55,34.1102,0,20,0.0
0043c2d173af9b2e98f68257d10a9cafd5c8d023eb0e918940a3b1a0397af383,54.0,19.1975,15.5,6.7756,6.3614,1.5696,106.3333,5.0332,165.3889,54.2243,0,12,0.0
004af01adc073bfb698297f5f94c088be29aac2936689feaf5864bd8fe12d6a9,47.0727,14.8035,3.8909,3.6952,5.2142,0.6354,105.2,5.7684,103.7894,28.8369,0,55,0.0
0051dfc3e58be7a36428e6f842dd071a8dbefe5754b016d806dfe2eb6dab67d2,3.4819,3.2398,0.2289,0.6501,6.3081,0.2381,118.2651,3.5029,0.0,0.0,0,83,0.0
005241ae2ff948115acb4556ffb066ee3a37aa94f61d2f29253fb0ac6326b2c8,19.7881,10.1643,3.0508,4.1671,5.2503,0.4888,111.678,0.8661,117.9435,40.4771,0,118,0.0
00751b2353a314abe35bf55c36801f73b5e5c63ffe3ebe1409af3ed74335cbc7,79.2273,32.305,6.8182,4.7573,5.1245,0.6751,114.0,23.2993,187.9394,60.4859,0,22,0.0
00b0cc67da55875210fdca5d8751f32712faea23506bb4bc38d4894710246964,26.4444,13.308,1.0741,1.9792,5.4527,0.9117,93.5556,6.1603,51.9383,21.1277,0,27,0.0
00c548127cb00c3ec7157959cb5ffdf33de724f289b96e5ccb47df82f8bffe77,18.7273,11.957,1.3182,2.2967,5.3039,1.6031,113.0909,25.3864,144.0947,63.2214,0,22,0.0
00d544621891ec2ed4f01052df526d069177a92e7ed2e948a4a2e942e12a45a6,7.7,4.2869,0.44,1.3726,5.4436,0.5935,114.36,1.3815,78.24,9.2403,0,50,0.0
00d73b31d208a04d056d23eca3e77e6a0eb4c317be98eba9a87a11dbc000dd34,26.5217,9.8989,3.6087,4.6976,5.3522,0.3617,110.0,1.5954,88.8406,23.0152,0,23,0.0
00dfde7f4b45b5e702f747615653814a2c2d6795891ba949ec318513a94420be,62.8824,25.9853,4.0,2.4238,5.7701,1.1833,106.9412,10.7265,0.0,0.0,0,17,0.0
00e618ce89a88aad100e86f7cb50fdc621e7c1f826f533e511cd2fe415391488,16.2331,8.0188,1.0526,2.4903,4.3919,0.5205,110.9474,7.0478,57.641,24.8981,0,133,0.0
00e857e6dd3dc2b76861e208b60891e7be65585d0271981397b27837d10e5e61,33.0,24.409,4.8182,7.1808,4.4976,0.6829,101.0909,4.3233,168.8106,94.4964,0,11,0.0
0106fe51a41f53fe8995685d4ba3e90ee3037f608b2a458df6fbb5ea776999a6,112.2222,53.6263,9.3333,6.0851,5.8174,1.0283,115.7222,8.1578,86.9537,39.1129,0,36,0.0
0109ec162324ab2623250431f96826c9d3962315b01b9a35e03e63b958acf1cc,52.0,14.9711,8.9375,4.8231,5.4695,0.3289,100.625,3.5567,88.2448,24.8855,0,16,0.0
010cd3b696cbc72effbda7c54bc24c1a07239be3c8145f59b4f4308a4e873bef,15.4366,8.0494,0.6761,1.2279,5.1169,0.4248,102.4789,12.9723,67.338,25.6711,0,71,0.0
010dd76f7f224b67c4b92f0f38a420878661971d0635af20c9c1587b75583a40,103.0097,28.7151,8.0194,6.5843,6.0185,0.5576,109.8447,4.4342,229.0405,42.4846,0,103,0.0
011151df5ec4d08c526f6854788bdf22f343d045f32a9cdd46ba47cabc70dfd4,90.9412,30.8408,8.0084,5.5852,4.1325,1.0614,116.5714,5.3116,273.2045,64.334,0,119,0.0
011350dc189a41185075f2cf1df6d260113aaa6db8dab3b1f7c9ae7008505d70,52.6216,22.1226,5.8919,7.2257,4.6331,1.049,112.5405,17.6739,123.9662,38.6803,0,37,0.0
013c43081b1b086eb59f94a33aaee26ae81f85e9dbf48f5ff6338c45fb0de21a,37.9333,20.6045,1.7667,1.7157,4.1567,0.8472,110.6667,27.4444,137.0444,34.4093,0,30,0.0
0146a78deb30e6c5794d614cfc5d38a7c77de97242d418539cebad5226e8995d,70.4762,23.1249,5.9048,3.2543,4.6032,0.494,108.7619,25.0078,151.5992,59.389,0,21,0.0
0148c47aa03989416869c3b86bc86c8f5a8715a6f6f3059f7a163613a4f3fc65,60.299,21.2079,10.8041,6.6138,5.0019,0.2111,110.9897,3.9064,53.793,10.5205,0,97,0.0
014adbb14b5e216bb7e3fd60ff678df8a0165c408c954bc8633977bff531f4fc,80.8333,32.5436,9.4444,5.9431,5.316,0.5923,96.6667,3.2899,179.9444,53.5328,0,18,0.0
015f1bca5a1362790e1c071a856512373cc4f9780a6e9a798da55a8154df86eb,131.125,52.8458,9.025,6.0447,4.9468,0.4852,108.95,3.0378,202.8187,53.9449,0,40,0.0
01630c13351ea93e7a579de551be3f6492c82ab41983c4c16e08025d60b56968,49.0833,23.9031,10.0,9.342,5.5803,2.3322,116.3333,2.6742,146.2778,58.8565,0,12,0.0
01663e5cd0be73e8b42beccfffcd8f6fdfde769a04b4abb5fe4428e1fc59fd6e,24.2667,11.4734,2.0667,2.1865,5.0686,0.483,107.6,29.8012,171.2056,62.2324,0,15,0.0
016e21fc445f6a2f527eb2d23bd361fc0d1427c939d3226fd53140aaa43d3d8d,5.0,7.3144,0.2,0.4472,5.3596,0.52,119.6,2.9665,32.8833,29.8515,0,5,0.0
01860471d8b9b05916cc761bf49a4e1bb9a6201ced92cc2fde3d84e84196313c,51.4815,26.5408,3.1111,3.0298,4.8315,1.4795,108.3704,4.4734,0.0,0.0,0,27,0.0
0188335bd15b0e08ff5f3b8789cfe24619d4995c3a3d1155217222a26c824da9,6.6667,7.6862,1.2593,3.0457,4.6087,0.2497,98.8889,41.2099,44.8951,11.9448,0,27,0.0
01950f23d9fe47e893c9781d4e5a43f8a799faa9db7caca3403531d62f97c593,25.5571,11.1818,1.1714,1.5786,6.603,0.2668,109.1714,11.6494,0.0,0.0,0,70,0.0
0197f074a1e047d0a37d0abd9403e11d1d67fb3637265ec1ebe86f7b9627d4b2,51.2857,14.7645,9.6786,5.2779,4.9605,0.2863,119.4286,3.3046,186.2173,35.692,0,28,0.0
019ec10a06d217056e067269c396cdaf84d25e532c79ad637fcb4af02b485390,64.8889,20.2644,3.4889,2.9358,4.0884,0.44,116.4,2.0271,0.0,0.0,0,45,0.0
01a209dfc892bccc06798843000da0b5c2c5c636adb31ef82ae67199925643ea,17.2222,11.6432,1.5926,1.6469,4.6532,0.9167,114.7407,2.0865,47.4599,26.4762,0,27,0.0
01c58441c8a2bce1899366dfa664f62d82e2a307ec9a726573d492aa1fbfca57,49.5254,19.4877,2.0508,1.9602,4.5511,0.7141,113.5932,6.9459,0.0,0.0,0,59,0.0
01c788dde5ed4c12d9cf98eb672c70bab12515e58ef1cfadd1592d4b1cb19360,69.3125,27.0622,2.75,2.4358,4.446,0.2377,116.5,2.4766,167.0,54.8263,0,16,0.0
01d84a4d769ce0281bddb5183b47478a875e2d957729bf1fb1c10257b7301e0a,92.1111,58.1056,5.0,4.8198,5.2799,1.969,59.4815,60.8114,120.892,51.1014,0,27,0.0
01ddea12f7bfcf4499c3c93a2494219d51f922d86e154c58d01fa2f624f7c55e,115.1111,47.1999,14.5333,10.3058,3.5751,0.5585,109.4667,4.0317,0.0,0.0,0,45,0.0
01e0321f94b5d3d807b4c5be019dd99c88b6a9e3109f1d3f0de8619946fc22dc,72.5455,18.9144,6.0,5.3268,5.3598,1.3236,29.6364,49.6197,239.2652,61.0846,0,33,0.0
01fa415e6f6c4990d45f3004b7d50f09cd1ecc2be6f9d579dc5f8bb74facb584,69.5667,29.4459,4.1667,3.4206,4.7936,0.346,116.6333,1.1927,87.7625,28.4276,0,60,0.0
020195cf7309e056fe12142d727e67deb7c123302a6fc10b549e2a27a2ff19f5,29.4667,30.5159,6.9667,5.1158,3.9359,0.4327,121.6,1.5222,159.6306,37.5478,0,30,0.0
0205ddea174735a30cef761ea893a1e59429b6e5f5bbb67aaa7b3e3db53bf282,17.8889,6.2676,1.5333,2.3218,6.676,0.7237,113.3778,2.6568,0.0,0.0,0,45,0.0
0209b831ca816fcebb1729c64c5dc3287c21e6a85d27ec8c87ad78b9e0dda095,76.9138,23.3518,6.7931,4.4751,5.4096,1.2743,114.5172,3.9747,140.2299,29.8012,0,58,0.0
020f67bc4bc52ce3928fbf76ee65ead1df33ba612c31ee0bc04fbefa7f427f6f,36.1818,24.7727,4.4318,6.6696,5.3096,0.5268,115.5909,4.0366,100.6496,51.7709,0,44,0.0
0226ce8da3541ef0e28a7c3167c8abe47c570f493a0bee07225562a3f69f1d2b,87.6504,19.5364,8.2033,4.2174,3.9478,0.3478,117.5447,3.6016,145.8977,35.764,0,123,0.0
023842de01c074f8f09c455418a012076cd914c20e7a4766c197bc48be1d1de5,60.1429,30.4619,10.0952,8.1542,5.7108,1.6332,72.9524,41.745,195.369,80.7415,0,21,0.0
0238b2e366f7c002b314b31b1f68bcf31ed9d4a65c7da0f84571a673fda4bbb0,10.0952,8.7925,1.1905,3.4233,5.7913,0.466,120.2857,13.5831,78.9975,26.8018,0,42,0.0
025608b544f60c0f399c43a653d3d4a7c9ef912f8f9d4de7386a2db1c4566640,78.0625,41.1995,10.125,6.1631,9.0527,3.3313,120.375,1.3102,299.5885,100.3015,0,16,0.0
026c27bea6c07c07d837557bc01d2475faa504cf9a4c81e0f5027399bfa382ab,58.8077,22.3619,4.9744,3.7623,5.2731,0.35,116.1282,2.3319,42.2927,7.5442,0,78,0.0
026fe81d79711508eb4f3b0123dc6d133863fc3736e26480b5c1332472da2bf6,72.8333,34.6245,5.0556,6.188,4.5999,0.9973,111.6667,4.0729,0.0,0.0,0,18,0.0
0274e5d0f9002a8a87ddf9941af93edeb663b6f1c0498d0e04400488b521bf51,10.3235,5.127,0.5294,1.0513,3.7613,0.0654,107.7059,2.517,46.4632,14.5828,0,34,0.0
027657f82b4152f276352fc8c3294002b4443616bf9d1812de60c4a670f2da78,106.3667,25.3629,9.9,6.87,3.0106,0.7161,128.1333,0.5074,162.0111,31.6406,0,30,0.0
0277d68bf9e921961ca7ededbb0c3227410267a92ad5a77e0fa5958d708c2258,29.6667,10.9102,3.5714,3.5996,5.3432,0.4263,119.2381,1.1792,121.0476,25.3899,0,21,0.0
0278799243f6a51e46ec863c93545f796f1394d7dc72d1f57a48d3571e292ec0,35.8621,10.0341,4.7069,4.8631,5.6509,0.7349,122.3103,1.7493,194.5158,26.875,0,58,0.0
028371044c8c127511cf64d456d3dfe021a20ae05abf4d72e8526b0467ebf88a,36.3846,17.9925,3.4231,5.41,4.3473,0.412,110.1538,20.3955,186.3157,51.9519,0,52,0.0
028a11043734b4278a3f6a286096609c04e18276aa962a32c11a9ed9dadbdd28,27.1667,17.9379,1.3333,1.633,4.2808,0.367,113.0,2.0976,215.5,58.6755,0,6,0.0
02972ddc880f1fc827520f9550362c4e6d40ad8f3f78024d461197419dab0939,17.8205,5.8078,2.0256,3.0304,4.5891,0.2125,122.1026,0.4469,36.5983,5.2993,0,39,0.0
029a30ac094d3b31f28f23b701dcef9400f73fbdb324dcae3117a1681246bf28,69.186,31.638,6.3953,4.4355,5.3433,0.4543,115.9535,1.7176,77.2442,30.1204,0,43,0.0
02abb982090e12f1381c9548d63feaa2be1a87d85d7116913254a43719e03655,35.3636,16.0017,2.5455,2.4234,4.3893,1.6894,98.9091,3.5058,82.5379,33.6341,0,11,0.0
02bda506dc9f2d8c2a0f721767a3338e1e2b0f5700f7d50454ef5cf2b26eb201,69.4,23.6894,12.0571,6.9534,3.9029,0.1412,109.2,2.998,143.8929,29.1861,0,35,0.0
02beeaf93d578974c6c7ec2dd7f369760e3b0fe0efdab4011bbc96c3c8025f25,37.8947,11.7561,2.4737,2.0233,4.2081,0.2335,92.6316,5.0104,0.0,0.0,0,38,0.0
02c47e02d6db80b01c8d88b5f15dba49656daf21bb2598ea79eefb85b857cb43,32.8571,11.4815,2.7857,2.1901,4.3459,0.5388,120.5714,0.9376,104.5417,27.518,0,14,0.0
02c540247a6e8eec970f87d04a1f3dd6ed8cac1a9d6b95baef05230572ebd399,15.6,7.6336,2.1143,3.9619,3.9195,0.6382,121.4,8.8488,110.4452,26.7337,0,70,0.0
02c5baa984ad0d375051d570569241007e4ac0ea457f3a2617a85d3f65c510b2,33.9701,11.5457,3.6418,5.0172,4.0603,0.16,120.5672,1.1445,94.7599,31.3689,0,67,0.0
02c775faadf0c7c44cf4082f3f36dcda5ec19d02b759d68f655b98fcab967377,18.2055,7.0355,0.7534,1.2448,4.374,0.5121,112.3836,9.1205,120.0959,41.7641,0,73,0.0
02cc85687aa9b2ae77a6044c9534ccc5a5252ed2a01d248a369ef3c258a20607,28.0152,18.4845,1.8636,2.5473,4.231,0.7784,65.5455,64.6437,50.3321,11.4844,0,66,0.0
02d294e740ecc982ac257021c38280a9e9cad09eb6fb88756fcc7d5811266283,44.0,18.5149,4.0952,2.7369,4.7903,0.7717,120.9524,2.2467,115.3532,38.3563,0,21,0.0
02d6ee53ec7bdd53427d9f2cff298099ad443ce53dc1b26b151149a19fe01667,43.3571,20.8242,10.9643,11.8055,3.4434,0.4308,98.6429,13.8034,0.0,0.0,0,28,0.0
02d78e886c7f55e9112ae38b0981d208212d50c71bb2b879ea62b629419f4506,43.8133,14.5144,1.8933,2.0106,5.2239,0.5997,115.3333,6.471,0.0,0.0,0,75,0.0
02ea4b14a5718f160544b2ac6c42636264d55172e4d4d1eea0136717d20638a8,66.1905,23.8026,8.381,5.7487,4.9099,1.4826,122.8571,1.9567,207.6746,79.2183,0,21,0.0
02f04dc556b92b8a95835a2f1ed2f58c569e3c72783227ddf37c4ea00afb0fe5,18.4146,8.0715,1.5122,2.3251,4.5693,0.369,114.878,1.3453,77.878,27.0666,0,41,0.0
